epoch,False Positives (Negative),False Positives (Neutral),False Positives (Positive),False Negatives (Negative),False Negatives (Neutral),False Negatives (Positive),Training Accuracy,Validation Accuracy
110,36,35,51,28,52,42,0.9946460723876953,0.7821428775787354
111,32,39,53,32,50,42,0.9940511584281921,0.7785714268684387
112,31,38,55,34,51,39,0.9976204633712769,0.7785714268684387
113,36,35,54,29,53,43,0.9940511584281921,0.7767857313156128
114,43,44,33,24,42,54,0.9964306950569153,0.7857142686843872
115,37,37,50,29,50,45,0.9922665357589722,0.7785714268684387
116,37,37,54,35,48,45,0.9988102316856384,0.7714285850524902
117,40,39,52,31,54,46,0.9958358407020569,0.7660714387893677
118,44,40,49,30,50,53,0.9940511584281921,0.762499988079071
119,39,42,41,28,44,50,0.9952409267425537,0.7821428775787354
120,35,37,56,37,45,46,0.9922665357589722,0.7714285850524902
121,35,43,50,34,42,52,0.9976204633712769,0.7714285850524902
122,37,39,47,29,44,50,0.9946460723876953,0.7803571224212646
123,38,28,64,35,53,42,0.9946460723876953,0.7678571343421936
124,39,33,53,30,49,46,0.9964306950569153,0.7767857313156128
125,31,42,48,36,40,45,0.9928613901138306,0.7839285731315613
126,37,31,51,27,47,45,0.9910767674446106,0.7875000238418579
127,38,36,49,30,45,48,0.9904818534851074,0.7803571224212646
128,35,33,53,34,43,44,0.9904818534851074,0.7839285731315613
